category,video_id
PlayingCello,v_PlayingCello_g02_c04
UnevenBars,v_UnevenBars_g09_c02
FrisbeeCatch,v_FrisbeeCatch_g08_c02
UnevenBars,v_UnevenBars_g25_c01
CliffDiving,v_CliffDiving_g14_c04
FrontCrawl,v_FrontCrawl_g21_c06
UnevenBars,v_UnevenBars_g19_c03
BasketballDunk,v_BasketballDunk_g20_c04
FrontCrawl,v_FrontCrawl_g12_c03
FieldHockeyPenalty,v_FieldHockeyPenalty_g20_c01
BoxingPunchingBag,v_BoxingPunchingBag_g15_c04
HammerThrow,v_HammerThrow_g01_c05
CricketBowling,v_CricketBowling_g25_c07
PlayingDhol,v_PlayingDhol_g14_c02
Hammering,v_Hammering_g10_c06
ApplyLipstick,v_ApplyLipstick_g25_c02
HandStandPushups,v_HandStandPushups_g02_c04
PlayingCello,v_PlayingCello_g10_c01
CricketBowling,v_CricketBowling_g24_c04
HandstandWalking,v_HandstandWalking_g22_c02
PlayingFlute,v_PlayingFlute_g09_c03
MoppingFloor,v_MoppingFloor_g25_c02
BoxingPunchingBag,v_BoxingPunchingBag_g24_c03
BasketballDunk,v_BasketballDunk_g13_c04
MoppingFloor,v_MoppingFloor_g04_c06
PlayingFlute,v_PlayingFlute_g17_c01
FieldHockeyPenalty,v_FieldHockeyPenalty_g06_c02
ApplyLipstick,v_ApplyLipstick_g14_c04
HandstandWalking,v_HandstandWalking_g15_c01
BoxingPunchingBag,v_BoxingPunchingBag_g09_c05
UnevenBars,v_UnevenBars_g16_c05
MoppingFloor,v_MoppingFloor_g14_c03
HandStandPushups,v_HandStandPushups_g08_c05
FieldHockeyPenalty,v_FieldHockeyPenalty_g18_c03
BoxingPunchingBag,v_BoxingPunchingBag_g08_c02
PlayingDhol,v_PlayingDhol_g11_c01
BoxingPunchingBag,v_BoxingPunchingBag_g01_c04
FieldHockeyPenalty,v_FieldHockeyPenalty_g12_c03
Hammering,v_Hammering_g23_c02
CliffDiving,v_CliffDiving_g09_c01
PlayingDhol,v_PlayingDhol_g16_c04
UnevenBars,v_UnevenBars_g06_c02
CricketBowling,v_CricketBowling_g18_c06
BoxingPunchingBag,v_BoxingPunchingBag_g06_c05
CricketBowling,v_CricketBowling_g09_c06
UnevenBars,v_UnevenBars_g22_c01
PlayingDhol,v_PlayingDhol_g17_c03
FrontCrawl,v_FrontCrawl_g04_c06
ApplyLipstick,v_ApplyLipstick_g19_c04
HandstandWalking,v_HandstandWalking_g02_c03
HammerThrow,v_HammerThrow_g22_c05
HandStandPushups,v_HandStandPushups_g13_c04
Hammering,v_Hammering_g18_c01
Hammering,v_Hammering_g21_c06
FrisbeeCatch,v_FrisbeeCatch_g16_c02
PlayingCello,v_PlayingCello_g24_c01
Hammering,v_Hammering_g14_c04
BasketballDunk,v_BasketballDunk_g04_c04
ApplyLipstick,v_ApplyLipstick_g10_c01
CricketBowling,v_CricketBowling_g07_c04
UnevenBars,v_UnevenBars_g21_c02
BasketballDunk,v_BasketballDunk_g09_c03
ApplyLipstick,v_ApplyLipstick_g06_c03
MoppingFloor,v_MoppingFloor_g05_c05
HandStandPushups,v_HandStandPushups_g25_c05
HandstandWalking,v_HandstandWalking_g21_c04
BoxingPunchingBag,v_BoxingPunchingBag_g03_c06
HandStandPushups,v_HandStandPushups_g20_c01
ApplyLipstick,v_ApplyLipstick_g13_c01
PlayingFlute,v_PlayingFlute_g06_c02
FieldHockeyPenalty,v_FieldHockeyPenalty_g05_c03
FrontCrawl,v_FrontCrawl_g07_c06
PlayingCello,v_PlayingCello_g09_c06
FieldHockeyPenalty,v_FieldHockeyPenalty_g18_c02
FrontCrawl,v_FrontCrawl_g08_c05
BasketballDunk,v_BasketballDunk_g24_c04
PlayingFlute,v_PlayingFlute_g24_c04
PlayingCello,v_PlayingCello_g24_c07
FrisbeeCatch,v_FrisbeeCatch_g21_c03
PlayingDhol,v_PlayingDhol_g07_c02
ApplyLipstick,v_ApplyLipstick_g18_c01
BasketballDunk,v_BasketballDunk_g25_c01
ApplyLipstick,v_ApplyLipstick_g19_c03
HandStandPushups,v_HandStandPushups_g12_c07
PlayingDhol,v_PlayingDhol_g07_c06
CliffDiving,v_CliffDiving_g14_c05
PlayingFlute,v_PlayingFlute_g24_c01
PlayingCello,v_PlayingCello_g06_c02
FrontCrawl,v_FrontCrawl_g16_c03
FrontCrawl,v_FrontCrawl_g05_c03
FrontCrawl,v_FrontCrawl_g13_c04
CricketBowling,v_CricketBowling_g05_c04
FieldHockeyPenalty,v_FieldHockeyPenalty_g13_c03
PlayingDhol,v_PlayingDhol_g17_c05
FrontCrawl,v_FrontCrawl_g20_c05
FrisbeeCatch,v_FrisbeeCatch_g25_c03
BoxingPunchingBag,v_BoxingPunchingBag_g01_c05
FieldHockeyPenalty,v_FieldHockeyPenalty_g10_c01
PlayingDhol,v_PlayingDhol_g23_c07
HammerThrow,v_HammerThrow_g11_c04
PlayingCello,v_PlayingCello_g15_c03
CricketBowling,v_CricketBowling_g07_c03
FrisbeeCatch,v_FrisbeeCatch_g20_c05
UnevenBars,v_UnevenBars_g07_c03
PlayingCello,v_PlayingCello_g20_c05
HandStandPushups,v_HandStandPushups_g02_c01
PlayingFlute,v_PlayingFlute_g12_c03
HandStandPushups,v_HandStandPushups_g16_c05
PlayingDhol,v_PlayingDhol_g01_c01
MoppingFloor,v_MoppingFloor_g21_c03
BasketballDunk,v_BasketballDunk_g21_c04
PlayingDhol,v_PlayingDhol_g08_c06
Hammering,v_Hammering_g17_c06
BoxingPunchingBag,v_BoxingPunchingBag_g01_c01
ApplyLipstick,v_ApplyLipstick_g20_c03
ApplyLipstick,v_ApplyLipstick_g23_c02
Hammering,v_Hammering_g01_c03
PlayingFlute,v_PlayingFlute_g16_c05
FrontCrawl,v_FrontCrawl_g06_c05
HammerThrow,v_HammerThrow_g19_c03
FrontCrawl,v_FrontCrawl_g12_c04
CricketBowling,v_CricketBowling_g15_c06
HandStandPushups,v_HandStandPushups_g23_c03
BoxingPunchingBag,v_BoxingPunchingBag_g23_c02
UnevenBars,v_UnevenBars_g05_c04
PlayingFlute,v_PlayingFlute_g15_c04
FieldHockeyPenalty,v_FieldHockeyPenalty_g02_c03
BasketballDunk,v_BasketballDunk_g05_c04
FrontCrawl,v_FrontCrawl_g25_c04
PlayingCello,v_PlayingCello_g10_c06
HandstandWalking,v_HandstandWalking_g24_c04
Hammering,v_Hammering_g05_c03
FrisbeeCatch,v_FrisbeeCatch_g12_c02
PlayingDhol,v_PlayingDhol_g10_c01
ApplyLipstick,v_ApplyLipstick_g12_c01
PlayingFlute,v_PlayingFlute_g08_c06
UnevenBars,v_UnevenBars_g11_c03
PlayingFlute,v_PlayingFlute_g18_c02
HammerThrow,v_HammerThrow_g09_c02
PlayingFlute,v_PlayingFlute_g23_c01
BoxingPunchingBag,v_BoxingPunchingBag_g04_c04
MoppingFloor,v_MoppingFloor_g21_c04
HandstandWalking,v_HandstandWalking_g21_c02
PlayingDhol,v_PlayingDhol_g02_c07
BasketballDunk,v_BasketballDunk_g17_c03
FieldHockeyPenalty,v_FieldHockeyPenalty_g18_c01
FrontCrawl,v_FrontCrawl_g19_c03
PlayingCello,v_PlayingCello_g03_c04
ApplyLipstick,v_ApplyLipstick_g02_c04
HandstandWalking,v_HandstandWalking_g01_c03
FrontCrawl,v_FrontCrawl_g16_c04
BoxingPunchingBag,v_BoxingPunchingBag_g06_c06
HandStandPushups,v_HandStandPushups_g15_c03
Hammering,v_Hammering_g22_c06
HandstandWalking,v_HandstandWalking_g12_c02
BoxingPunchingBag,v_BoxingPunchingBag_g22_c01
HandStandPushups,v_HandStandPushups_g13_c01
